ucc,provenance_class,in_published_ce,in_concordance,published_title,concordance_title,elis,dmi_node,ce_source
220122,PUBLISHED_CE_UCC,true,false,Homeowners insurance,,,,
220211,PUBLISHED_CE_UCC,true,false,Property taxes,,,,
220212,PUBLISHED_CE_UCC,true,false,Property taxes,,,,
220311,PUBLISHED_CE_UCC,true,false,Mortgage interest,,,,
220312,PUBLISHED_CE_UCC,true,false,Mortgage interest,,,,
220313,PUBLISHED_CE_UCC,true,false,"Interest paid, home equity loan",,,,
220314,PUBLISHED_CE_UCC,true,false,"Interest paid, home equity loan",,,,
220512,PUBLISHED_CE_UCC,true,false,"Materials and supplies purchased for insulation, dwellings under construction, additions, finishing, remodeling, landscaping, etc.",,,,
220513,PUBLISHED_CE_UCC,true,false,"Supplies purchased for additions, maintenance, repairs, and new construction",,,,
220611,PUBLISHED_CE_UCC,true,false,Capital improvements: labor and materials (owned home),,,,
220612,PUBLISHED_CE_UCC,true,false,"Dishwasher, disposal, or range hood",,,,
220615,PUBLISHED_CE_UCC,true,false,Capital improvements: labor and materials (owned vacation),,,,
220616,PUBLISHED_CE_UCC,true,false,Wall-to-wall carpeting,,,,
220901,PUBLISHED_CE_UCC,true,false,Parking,,,,
220902,PUBLISHED_CE_UCC,true,false,Parking,,,,
230112,DIRECT_CONCORDANCE_UCC,true,true,Painting and papering,Painting/Papering Labor/Mat Ownd,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
230113,PUBLISHED_CE_UCC,true,false,Plumbing and water heating,,,,
230114,PUBLISHED_CE_UCC,true,false,"Heat, a/c, and electrical work",,,,
230115,PUBLISHED_CE_UCC,true,false,Roofing and gutters,,,,
230117,DIRECT_CONCORDANCE_UCC,true,true,"Dishwashers (built-in), garbage disposals, and range hoods (renter)",Repl Dishwash/Disp/Hood Rntr,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
230118,DIRECT_CONCORDANCE_UCC,true,true,"Dishwashers (built-in), garbage disposals, and range hoods (owned home)",Repl Dishwash/Disp/Hood Ownd,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
230121,PUBLISHED_CE_UCC,true,false,Repair and replacement of hard surface flooring,,,,
230122,PUBLISHED_CE_UCC,true,false,Repair and replacement of hard surface flooring,,,,
230123,PUBLISHED_CE_UCC,true,false,Repair and replacement of hard surface flooring,,,,
230133,PUBLISHED_CE_UCC,true,false,Wall-to-wall carpet (replacement) (owned home),,,,
230134,PUBLISHED_CE_UCC,true,false,Wall-to-wall carpet (renter),,,,
230141,DIRECT_CONCORDANCE_UCC,true,true,Repair of built-in appliances,Repair-Displ/Dwshr/Rang Hd Rntr,HP041,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
230142,DIRECT_CONCORDANCE_UCC,true,true,Repair of built-in appliances,Repair-Displ/Dwshr/Rang Hd Ownd,HP041,HOUSEHOLD_FURNISHINGS_OPERATIONS,D
230143,PUBLISHED_CE_UCC,true,false,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",,,,
230144,PUBLISHED_CE_UCC,true,false,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",,,,
230150,DIRECT_CONCORDANCE_UCC,true,true,Repair or maintenance services,Rep/Maint Labor/Mat Rntr,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
230151,PUBLISHED_CE_UCC,true,false,Other repair and maintenance services,,,,
230152,PUBLISHED_CE_UCC,true,false,Repair and remodeling services,,,,
230901,PUBLISHED_CE_UCC,true,false,Property management,,,,
230902,PUBLISHED_CE_UCC,true,false,Property management,,,,
240111,DIRECT_CONCORDANCE_UCC,true,true,"Paint, wallpaper, and supplies",Paint/Wallpaper And Supp Rntr,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240112,DIRECT_CONCORDANCE_UCC,true,true,"Paints, wallpaper, and supplies",Paint/Wallpaper And Supp Ownd,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240113,PUBLISHED_CE_UCC,true,false,"Paints, wallpaper, and supplies",,,,
240121,DIRECT_CONCORDANCE_UCC,true,true,Tools and equipment for painting and wallpapering,Equip For Paint/Wpaper Rntr,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240122,DIRECT_CONCORDANCE_UCC,true,true,Tools and equipment for painting and wallpapering,Equip For Paint/Wpaper Ownd,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240123,PUBLISHED_CE_UCC,true,false,Tools and equipment for painting and wallpapering,,,,
240211,DIRECT_CONCORDANCE_UCC,true,true,"Materials for plastering, panels, roofing, and gutters, etc.","Mat For Panl/Roof/Siding,Etc Rntr",HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240212,DIRECT_CONCORDANCE_UCC,true,true,"Materials for plaster, panel, siding, windows, doors, screens, and awnings","Mat For Panel/Siding, Etc Ownd",HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240213,PUBLISHED_CE_UCC,true,false,Materials and equipment for roofs and gutters,,,,
240214,PUBLISHED_CE_UCC,true,false,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",,,,
240221,DIRECT_CONCORDANCE_UCC,true,true,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work","Mat For Patio,Masonry,Etc Rntr",HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240222,DIRECT_CONCORDANCE_UCC,true,true,"Materials for patio, walk, fence, driveway, masonry, brick, and stucco work","Mat For Patio,Masonry,Etc Ownd",HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240223,PUBLISHED_CE_UCC,true,false,"Material for patio, walk, fence, drive, masonry, brick, and stucco",,,,
240311,DIRECT_CONCORDANCE_UCC,true,true,Plumbing supplies and equipment,Plumbing Supp/Equip Rntr,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240312,DIRECT_CONCORDANCE_UCC,true,true,Plumbing supplies and equipment,Plumbing Supp/Equip Ownd,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240313,PUBLISHED_CE_UCC,true,false,Plumbing supplies and equipment,,,,
240321,DIRECT_CONCORDANCE_UCC,true,true,"Electrical supplies, heating, and cooling equipment","Elec Supp, Heat/Cool Equip Rntr",HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240322,DIRECT_CONCORDANCE_UCC,true,true,"Electrical supplies, heating, and cooling equipment","Elec Supp,Heat/Cool Equip Ownd",HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,I
240323,PUBLISHED_CE_UCC,true,false,"Electrical supplies, heating, and cooling equipment",,,,
250111,DIRECT_CONCORDANCE_UCC,true,true,Fuel oil (renter),Fuel Oil Rntr,HE011,HOUSEHOLD_ENERGY,I
250112,DIRECT_CONCORDANCE_UCC,true,true,Fuel oil (owned home),Fuel Oil Ownd,HE011,HOUSEHOLD_ENERGY,I
250113,DIRECT_CONCORDANCE_UCC,true,true,Fuel oil (owned vacation),Fuel Oil Ownv,HE011,HOUSEHOLD_ENERGY,I
250114,DIRECT_CONCORDANCE_UCC,true,true,Fuel oil (rented vacation),Fuel Oil Rntv,HE011,HOUSEHOLD_ENERGY,I
