ucc,ucc_title,subcategory_code,domain_label,mapping_status,computation_node,destination_eli_count,destination_elis,destination_nodes,exception_reason,bls_multi_eli_footnote
240212,"Mat For Panel/Siding, Etc Ownd",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240213,Materials and equipment for roofs and gutters,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240214,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240221,"Mat For Patio,Masonry,Etc Rntr",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240222,"Mat For Patio,Masonry,Etc Ownd",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240223,"Material for patio, walk, fence, drive, masonry, brick, and stucco",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240311,Plumbing Supp/Equip Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240312,Plumbing Supp/Equip Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240313,Plumbing supplies and equipment,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240321,"Elec Supp, Heat/Cool Equip Rntr",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240322,"Elec Supp,Heat/Cool Equip Ownd",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240323,"Electrical supplies, heating, and cooling equipment",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
250111,Fuel Oil Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE011,HOUSEHOLD_ENERGY,,false
250112,Fuel Oil Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE011,HOUSEHOLD_ENERGY,,false
250113,Fuel Oil Ownv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE011,HOUSEHOLD_ENERGY,,false
250114,Fuel Oil Rntv,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE011,HOUSEHOLD_ENERGY,,false
250211,"Gas, Bottled Or Tank Rntr",HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
250212,"Gas, Bottled Or Tank Ownd",HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
250213,"Gas,Bottled Or Tank - Ownv & Rvs",HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
250214,"Gas, Bottled Or Tank Rntv",HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
250911,Other Fuels Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
250912,Other Fuels Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_ENERGY,1,HE021,HOUSEHOLD_ENERGY,,false
