ucc,population,ucc_label,ce_stub_parent,domain_label,provenance_class,source_class,amount_source,pumd_membership,pumd_quantitative_usability,cpi_adjustment_status,concordance_elis,dmi_node,m1_mapping_status,source_amount_millions,source_amount_status,source_amount_rse_pct,source_amount_high_rse_flag,governing_rule_id,governing_registry_artifact_id,rule_type,review_status,canonical_rule_state,ucc_rule_role,proposed_track_a_status,effective_track_a_status,rule_blocker_kind,predecessor_rule_id,pending_rule_effect_on_amount,track_a_disposition,retained_amount,excluded_amount,removed_for_replacement_amount,replacement_amount,transformed_amount,pending_amount,open_amount,withheld_amount,replacement_group_id,replacement_role,normalization_state,note
020410,ALL_CU,Cakes and cupcakes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB031,FOOD,DIRECT,8679.000000,OBSERVED,5.040000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,8679.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020410,Q1,Cakes and cupcakes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB031,FOOD,DIRECT,1051.000000,OBSERVED,23.470000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1051.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020410,Q2,Cakes and cupcakes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB031,FOOD,DIRECT,1285.000000,OBSERVED,9.260000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1285.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020410,Q3,Cakes and cupcakes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB031,FOOD,DIRECT,1532.000000,OBSERVED,9.620000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1532.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020410,Q4,Cakes and cupcakes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB031,FOOD,DIRECT,2079.000000,OBSERVED,7.710000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2079.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020410,Q5,Cakes and cupcakes,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB031,FOOD,DIRECT,2732.000000,OBSERVED,9.210000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2732.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020510,ALL_CU,Cookies,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB032,FOOD,DIRECT,12004.000000,OBSERVED,4.110000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,12004.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020510,Q1,Cookies,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB032,FOOD,DIRECT,1794.000000,OBSERVED,12.500000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1794.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020510,Q2,Cookies,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB032,FOOD,DIRECT,2002.000000,OBSERVED,6.310000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2002.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020510,Q3,Cookies,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB032,FOOD,DIRECT,2308.000000,OBSERVED,9.730000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2308.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
