ucc	eli	ucc_title	eli_title	ce_source	multi_eli_footnote
310335	RA031	Misc Video Equipment	Other Video Equipment	D	false
310340	RA061	Records,Cds,Audio Tapes	Music media and audio content	I	false
310350	RA061	Streaming/Downloading Audio	Music media and audio content	I	false
310400	EE021	Apps/Games/Ringtones For Devices	Computer Software And Blank Media	I	false
310900	RA090	Access. For Electronic Equip.	Unsampled Video And Audio	D	false
320111	HH011	Floor Coverings (Non-Perm.)	Floor Coverings	I	false
320120	HH022	Window Coverings	Shades and Blinds	I	false
320130	GE013	Infants Equipment	Infants' Equipment	D	false
320140	HN012	Laundry And Cleaning Equip.	Laundry And Cleaning Equipment	D	false
320150	HM021	Barbeque Grills And Outdoor Equip	Lawn And Garden And Outdoor Equipment And Grills	D	false
320221	HL011	Lamps/Light Fixtures/Ceiling Fans	Lamps And Lighting Fixtures	D	false
320232	EE041	Telephones And Accessories	Phones, Accessories, And Smartwatches	I	false
320233	HL012	Clocks And Other Hh Decor Items	Household Decorative Items And Clocks	D	false
320330	HL032	Flatware	Flatware	D	false
320345	HL031	Dishes/Cups/Glasses/Serving Piecs	Dishes	D	false
320370	HL041	Nonelectric Cookware	Nonelectric Cookingware	D	false
320380	HL042	Tableware/Non-Elec. Kitware	Nonelectric Kitchenware	D	false
320410	HM021	Lawn And Garden Equipment	Lawn And Garden And Outdoor Equipment And Grills	D	false
320420	HM012	Power Tools	Power Tools	I	false
320430	HM013	Other Hardware	Miscellaneous Hardware, Supplies And Equipment	D	false
320511	HK021	Electric Floor Cleaning Equip	Floor Cleaning Equipment	I	false
320512	RE021	Sewing Machines	Sewing Items	I	false
320521	HK022	Small Electric Kitchen Appliances	Small Electric Kitchen Appliances	I	false
320522	HK023	Portable Heating/Cooling Equip	Other Electric Appliances	I	false
320611	HM013	Constrct Mat-Rntr/Udr Cn/Sec Hm	Miscellaneous Hardware, Supplies And Equipment	I	false
320612	HM013	Construction Mat Ownd	Miscellaneous Hardware, Supplies And Equipment	I	false
320624	HH011	Flooring Inst/Rep/Repl Rntr	Floor Coverings	I	false
320625	HH011	Flooring Inst/Rep/Repl Ownd	Floor Coverings	I	false
320631	HM090	Lndscping Mat-Rntr/Udr Cn/Sc Hm	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
320632	HM090	Landscaping Materials Ownd	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
320901	HM090	Office Furniture Home Use	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
320902	HM014	Hand Tools	Nonpowered Hand Tools	D	false
320903	HL021	Indoor Plants, Fresh Flowers	Indoor Plants And Fresh Cut Flowers	I	false
320904	HM090	Closet And Storage Items	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	D	false
320905	HM090	Misc. Household Equip/Parts	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	D	false
330119	HN011	Laundry And Cleaning Products	Laundry And Cleaning Products	D	false
330310	HN021	Paper Towels/Napkins/Toilet Tissu	Household Paper Products	D	false
330410	GE011	Stationery, Giftwrap, Etc.	Stationery, Stationery Supplies, Gift Wrap	D	false
330510	HN031	Misc Household Products	Miscellaneous Household Products	D	false
330511	HM022	Mat For Termte/Pst Cntrl Maintce	Lawn & Garden Materials, Other Decorative Items & Pesticides	I	false
330610	HM022	Lawn And Garden Supplies	Lawn & Garden Materials, Other Decorative Items & Pesticides	D	false
340110	EC011	Postage	Postage	D	false
340120	EC021	Delivery Services	Delivery Services	D	false
340310	HP011	Domestic Service	Domestic Services	I	false
340410	HP021	Gardening/Lawn Care Service	Gardening And Lawncare Services	I	false
340420	HP090	Water Softening Service	Unsampled Household Operations	I	false
340421	HP090	Water Softening Service Ownd	Unsampled Household Operations	I	false
340422	HP090	Water Softening Service Rntr	Unsampled Household Operations	I	false
340510	HP031	Moving, Storage,Freight	Moving, Freight, And Storage Expenses	I	false
340520	GD031	Hshld Lndry,Drycln Not Coin-Op	Laundry And Dry Cleaning Services	D	false
340530	GD031	Coin-Op Hshld Lndry, Dry Cln	Laundry And Dry Cleaning Services	D	false
340610	RA090	Repair Of Tv/Radio/Sound Equip	Unsampled Video And Audio	I	false
340620	HP041	Repair Of Household Appliances	Appliance Repair	D	false
340630	HP042	Reupholstery Of Furniture	Reupholstery Of Furniture	I	false
340901	HM090	Rental/Repair-Tools,Lawn/Garden	Unsampled Tools, Hardware, Outdoor Equipment, And Supplies	I	false
340902	RA090	Rental Of Televisions	Unsampled Video And Audio	I	false
340903	HP090	Misc. Home Services	Unsampled Household Operations	I	false
340904	HJ090	Rental Of Furniture	Unsampled Furniture	I	false
340905	RA090	Rental Of Vcr/Radio/Sound Equip	Unsampled Video And Audio	I	false
340906	MD031	Care Of Invalids, Elderly, Etc	Home Health Care	I	false
340907	HK090	Rental Of Household Equipment	Unsampled Appliances	I	false
340908	EE090	Rntl Off Equip Non-Bus Use	Unsampled Information And Information Processing	I	false
340910	MD022	Adult Day Care Centers	Adult Day Care	I	false
340911	HP090	Mngmt/Spec Ser/Security Ownd	Unsampled Household Operations	I	false
340914	HP090	Serv For Termt/Pst Cntrl	Unsampled Household Operations	I	false
350110	HD011	Renters Insurance	Tenants' And Household Insurance	I	false
360110	AA011	Mens Suits	Men's Suits	I	false
360120	AA012	Mens Sportcoats/Tailored Jackets	Men's Sport Coats And Tailored Jackets	D	false
360210	AA013	Mens Coats And Jackets	Men's Outerwear	D	false
360319	AA021	Mens Underwear, Hosiery, Nightwea	Men's Underwear, Hosiery, Nightwear, And Swimwear	D	false
360330	AA022	Mens Accessories	Men's Accessories	D	false
360420	AA033	Mens Sweaters/Shirts/Vests	Men’s tops	D	false
360513	AA041	Mens Pants And Shorts	Men's Pants And Shorts	D	false
360901	AA090	Mens Uniforms	Unsampled Men's Apparel	D	false
360902	AA090	Mens Costumes	Unsampled Men's Apparel	D	false
370110	AB011	Boys Coats And Jackets	Boys' Outerwear	D	false
370125	AB012	Boys Sweaters/Shirts/Vests	Boys' Shirts And Sweaters	D	false
370219	AB013	Boys Underwear, Nightwear, Hosier	Boys' Underwear, Nightwear, Hosiery, Accessories, & Swimwear	D	false
370220	AB013	Boys Accessories	Boys' Underwear, Nightwear, Hosiery, Accessories, & Swimwear	D	false
370319	AB014	Boys Suits, Sport Coats, Pants, A	Boys' Suits, Sport Coats, And Pants	D	false
370902	AB090	Boys Costumes	Unsampled Boys' Apparel	D	false
370903	AB090	Boys Uniforms	Unsampled Boys' Apparel	D	false
380110	AC011	Womens Coats And Jackets	Women's Outerwear	D	false
380210	AC021	Womens Dresses	Women's Dresses	D	false
380319	AC031	Womens Tops	Women's Tops	D	false
380339	AC032	Womens Skirts, Pants, And Shorts	Women's Skirts, Pants, And Shorts	D	false
380429	AC041	Womens Undergarments, Nightwear,	Women's Undergarments, Nightwear, Shapewear, And Swimwear	D	false
380430	AC042	Womens Hosiery	Women's Hosiery And Accessories	D	false
380510	AC033	Womens Suits	Women's Suits And Suit Coordinates	D	false
380901	AC042	Womens Accessories	Women's Hosiery And Accessories	D	false
380909	AC090	Womens Costumes And Uniforms	Unsampled Women's Apparel	D	false
390110	AD011	Girls Coats And Jackets	Girls' Outerwear	D	false
390120	AD012	Girls Dresses, Suits	Girls' Dresses	D	false
390210	AD013	Girls Shirts/Blouses/Sweaters	Girls' Tops	D	false
390223	AD014	Girls Skirts, Pants, And Shorts	Girls' Skirts, Pants, And Shorts	D	false
390319	AD016	Girls Underwear, Nightwear, Hosie	Girls' Underwear, Nightwear, Hosiery, Accessories, & Swimwear	D	false
390322	AD016	Girls Accessories	Girls' Underwear, Nightwear, Hosiery, Accessories, & Swimwear	D	false
390901	AD090	Girls Uniforms	Unsampled Girls' Apparel	D	false
390902	AD090	Girls Costumes	Unsampled Girls' Apparel	D	false
400110	AE011	Mens Footwear	Men's Footwear	D	false
400210	AE021	Boys Footwear	Boys' Footwear	D	false
400220	AE022	Girls Footwear	Girls' Footwear	D	false
400310	AE031	Womens Footwear	Women's Footwear	D	false
410119	AF011	Infants & Toddlers Outer/Play/Dre	Infants' & Toddlers' Outer/Play/Dress/Sleep Wear & Accessories	D	false
410130	AF012	Infant Undergarments	Infants' & Toddlers' Underwear & Diapers	D	false
420115	RE021	Sewing/Ndlwrk/Quilt Matrls/Items	Sewing Items	I	false
430110	AG011	Watches	Watches	I	false
430120	AG021	Jewelry	Jewelry	I	false
430130	GE012	Luggage	Luggage	D	false
440110	GD041	Shoe Repair, Oth Shoe Service	Shoe Repair And Other Shoe Services	I	false
440120	GD031	Coin-Op Apparel Ldry/Dry Clng	Laundry And Dry Cleaning Services	I	false
440130	GD042	Alter/Repair Of Apparel, Access	Clothing, Alterations, Rentals And Repairs	I	false
440140	GD042	Clothing Rental	Clothing, Alterations, Rentals And Repairs	I	false
440150	GD043	Watch And Jewelry Repair	Jewelry and watch repairs	I	false
440210	GD031	Apparel Lndry/Dry Clng N/Coin-Op	Laundry And Dry Cleaning Services	I	false
440900	GD031	Clothing Storage Outside The Home	Laundry And Dry Cleaning Services	I	false
450110	TA011	New Cars	New Car And Truck Purchase	I	false
450116	TA011	Trade-In Allowance/New Cars	New Car And Truck Purchase	I	true
450210	TA011	New Trucks	New Car And Truck Purchase	I	false
450216	TA011	Trade-In Allow/New Trucks	New Car And Truck Purchase	I	true
450220	TA012	New Motorcycles	New Motorcycles	I	false
450350	TA031	Car/Truck Lease Payments	Vehicle Leasing	I	false
